<<<<<<< HEAD
www.ics: 343656
www.cs: 5614
www.informatics: 3301
www.stat: 2279
uci: 2093
: 56663
calendar.ics: 2826
connect: 2070
news: 3257
www: 47071
today: 2304
directory: 1597
intranet.ics: 2088
apply.grad: 1482
secure.connect: 1607
tech: 69
catalogue: 237
police: 5
www.admissions: 61
www.reg: 139
www.studyabroad: 18
www.ags: 8
www.fs: 12
www.career: 23
www.childcare: 3
www.counseling: 6
www.ccc: 4
www.disability: 51
www.grad: 98
www.ic: 13
www.housing: 32
www.lib: 37
www.lgbtrc: 4
www.shs: 5
www.veteran: 4
www.chs: 4
webmail.ics: 86
www.oit: 438
netreg.ics: 97
swiki.ics: 60696
ugradforms.ics: 12
keys.ics: 4
outlook: 4
exchange: 4
support.ics: 100
www.campustours: 6
communications: 44
www.parking: 20
recruit.ap: 64
staffing2.hr: 11
career: 7
ics: 2486
www.networkedsystems: 117
mcs.ics: 1142
mhcid.ics: 466
www.mecps: 14
mse.ics: 8
support: 905
developer: 111
cpri: 16
sites: 406
writingproject: 2
www.faculty: 108
education: 15
www.humanities: 4
www.campusorgs: 15
honors.ics: 447
www.honors: 16
www.urop: 64
www.ofas: 27
www.sagescholars: 13
www.dccenter: 7
emmaforms: 1
forms.communications: 6
wics.ics: 23601
www.math: 627
engineering: 145
abrc: 4
www.calit2: 18
merage: 27
www.crito: 6
www.cecs: 137
cml.ics: 8887
www.cor.web: 10
www.cpcc: 5
vision.ics: 10610
futurehealth.ics: 851
www.igb: 134
www.isr: 333
ivecg: 30
luci.ics: 394
sconce.ics: 83
mswe.ics: 158
docs: 323
www.alumni: 9
www.commencement: 4
sph: 4
housing: 17
www.mind: 5
projectreporter: 76
grad: 13
ic: 39
duttgroup.ics: 6935
socialcomputing: 8
asterix.ics: 205
radicle.ics: 4
emj.ics: 1761
www.datalab: 93
sherlock.ics: 83
hombao.ics: 232
evoke.ics: 3044
rebeccasresearch: 12
ngs.ics: 108605
malek.ics: 26
vnminin: 18
faculty.sites: 32
josh: 14
